Tree Richness - Low site quality,,,,,,,,,,
,,,,,,,,,,
Benchmark Richness,Lower Bound,Upper Bound,Best Estimate,Confidence (%) 50-100,90% CI (LB),90% CI (UB),Uppermost Bound,,,
5,Indicate the lowest realistic value for each time step,Indicate the highest realistic value for each time step,Provide your best estimate of the value for each time step,"How confident are you that your interval, from lowest to highest, would capture the true value)",90% upper confidence interval (automatically caculated),90% lower confidence interval (automatically caculated),6,,,
,,,,,,,,,,
Management scenario: Typical private land activities,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,0,2,1,95,0,2,,,0,2
20,0,2,1,95,0,2,,,0,2
40,0,2,1,90,0,2,,,0,2
60,0,2,1,80,0,2,,,0,2
Comment (optional),,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: Low intensity management,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,0,2,1,95,0,2,,,0,2
20,0,2,1,95,0,2,,,0,2
40,0,2,1,90,0,2,,,0,2
60,0,3,1.5,80,0,3,,,0,3
Comment (optional),,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: High intensity management ,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,0,2,1,95,0,2,,,0,2
20,1,4,3,95,1,4,,,1,4
40,1,6,4,90,1,6,,,1,6
60,2,7,5,80,2,6,,,2,7
Comment (optional),assuming high intensity management results in adding tree species ,,,,,,,,,
