Tree cover - Low site quality,,,,,,,,,,
Benchmark cover: to be elicited,,,,,,,,,,
Benchmark cover,Lower Bound,Upper Bound,Best Estimate,Confidence (%) 50-100,90% CI (LB),90% CI (UB),Uppermost Bound,,,
,Indicate the lowest realistic value for each time step,Indicate the highest realistic value for each time step,Provide your best estimate of the value for each time step,"How confident are you that your interval, from lowest to highest, would capture the true value)",90% upper confidence interval (automatically caculated),90% lower confidence interval (automatically caculated),65,,,
,,,,,,,,,,
Management scenario: Typical private land activities,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,0,5,2,95,0,5,,,0,5
20,0,6,2,90,0,6,,,0,6
40,0,7,2,80,0,8,,,0,8
60,0,8,1.5,70,0,10,,,0,10
Comment (optional),"no increase is worst scenario when trees already absent, some stochastc increase possible under upper bound, some allowance for dieback on best est",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: Low intensity management,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,0,5,2,95,0,5,,,0,5
20,2,20,5,90,2,20,,,2,20
40,4,40,9,80,3,44,,,3,44
60,6,50,12,70,4,61,,,4,61
Comment (optional),some recruitment & growth to woody thickening by eucs,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: High intensity management ,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,0,5,2,95,0,5,,,0,5
20,15,60,45,90,15,60,,,15,60
40,25,60,45,80,23,62,,,23,62
60,35,55,40,70,34,59,,,34,59
Comment (optional),"dense tree planting, locked stand scenario except where plantings are lower initial density",,,,,,,,,
