Tree cover (mean cover of trees over all plots),,,,,,,,,,
Medium initial condition,,,,,,,,,,
,Lower Bound,Upper Bound,Best Estimate,Confidence (%) 50-100,90% CI (LB),90% CI (UB),,,,
,Indicate the lowest realistic value for each time step,Indicate the highest realistic value for each time step,Proivide your best estimate of the value for each time step,"How confident are you that your interval, from lowest to highest, could capture the number of tree species)",90% upper confidence interval (automatically caculated),90% lower confidence interval (automatically caculated),,,,
,,,,,,,,,,
Management scenario: Do Nothing,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,30,30,30,100,30,30,,,30,30
20,,,,,,,,,,
40,,,,,,,,,,
60,,,,,,,,,,
Comment (optional),,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: Threat management ,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,30,30,30,100,30,30,,,30,30
20,,,,,,,,,,
40,,,,,,,,,,
60,,,,,,,,,,
Comment (optional),,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: Restoration,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,30,30,30,100,30,30,,,30,30
20,,,,,,,,,,
40,,,,,,,,,,
60,,,,,,,,,,
Comment (optional),,,,,,,,,,
