Tree Richness - Medium quality 1 (Ground Cover),,,,,,,,,,
,,,,,,,,,,
Benchmark richness:,Lower Bound,Upper Bound,Best Estimate,Confidence (%) 50-100,90% CI (LB),90% CI (UB),Uppermost Bound,,,
5,Indicate the lowest realistic value for each time step,Indicate the highest realistic value for each time step,Provide your best estimate of the value for each time step,"How confident are you that your interval, from lowest to highest, would capture the true value)",90% upper confidence interval (automatically caculated),90% lower confidence interval (automatically caculated),6,,,
,,,,,,,,,,
Management scenario: Typical private land activities,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,1,4,2,95,1,4,,,1,4
20,1,4,2,90,1,4,,,1,4
40,1,3.5,1.5,80,1,4,,,1,4
60,0.5,3,1,70,0,4,,,0,4
Comment (optional),"stochastic recruitment from dispersal assume intensification of modest historic grazing regime to 'typical' levels, attrition of old trees",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: Low intensity management,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,1,4,2,95,1,4,,,1,4
20,2,4,2.5,90,2,4,,,2,4
40,2.5,5,3,80,2,5,,,2,5
60,2.5,6,3.5,70,2,6,,,2,7
Comment (optional),"Marginally different from previous, given low levels of grazing in that scenario",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: High intensity management ,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,1,4,2,95,1,4,,,1,4
20,3,7,5,90,3,6,,,3,7
40,3,8,5,80,3,6,,,3,8
60,2.5,9,5,70,2,6,,,2,10
Comment (optional),best case scenario - planting to benchmark results in self sustaining tree diversity. Upper bound based on overplanting,,,,,,,,,
