Tree cover - Medium quality 1 (ground cover),,,,,,,,,,
Benchmark cover: to be elicited,,,,,,,,,,
Benchmark cover,Lower Bound,Upper Bound,Best Estimate,Confidence (%) 50-100,90% CI (LB),90% CI (UB),Uppermost Bound,,,
,Indicate the lowest realistic value for each time step,Indicate the highest realistic value for each time step,Provide your best estimate of the value for each time step,"How confident are you that your interval, from lowest to highest, would capture the true value)",90% upper confidence interval (automatically caculated),90% lower confidence interval (automatically caculated),65,,,
,,,,,,,,,,
Management scenario: Typical private land activities,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,0,5,3,95,0,5,,,0,5
20,0,12,5,65,0,15,,,-2,15
40,0,15,5,55,0,21,,,-3,21
60,0,15,5,50,0,23,,,-4,23
Comment (optional),As for TG Low,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: Low intensity management,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,0,5,3,95,0,5,,,0,5
20,2,10,5,65,1,12,,,1,12
40,8,20,12,55,5,25,,,5,25
60,10,30,15,50,6,42,,,6,42
Comment (optional),As for TG Low,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: High intensity management ,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,0,5,3,95,0,5,,,0,5
20,5,40,18,65,0,48,,,0,48
40,10,45,40,55,0,48,,,-9,48
60,12,60,50,50,0,65,,,-18,68
Comment (optional),As for TG Low,,,,,,,,,
