Tree cover - Low site quality,,,,,,,,,,
Benchmark cover: to be elicited,,,,,,,,,,
Benchmark cover,Lower Bound,Upper Bound,Best Estimate,Confidence (%) 50-100,90% CI (LB),90% CI (UB),Uppermost Bound,,,
,Indicate the lowest realistic value for each time step,Indicate the highest realistic value for each time step,Provide your best estimate of the value for each time step,"How confident are you that your interval, from lowest to highest, would capture the true value)",90% upper confidence interval (automatically caculated),90% lower confidence interval (automatically caculated),65,,,
,,,,,,,,,,
Management scenario: Typical private land activities,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,0,5,2,95,0,5,,,0,5
20,0,6,3,70,0,7,,,-1,7
40,0,7,4,70,0,8,,,-1,8
60,0,8,5,70,0,9,,,-1,9
Comment (optional),Following trend of past 50 years of sites left in benign neglect gaining trees. Worst case is nothing changes,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: Low intensity management,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,0,5,2,95,0,5,,,0,5
20,2,15,6,60,0,20,,,0,20
40,4,18,12,60,0,21,,,0,21
60,4,20,12,55,0,25,,,-1,25
Comment (optional),Growth and recruitment of canopy trees already in situ,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: High intensity management ,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,0,5,2,95,0,5,,,0,5
20,10,35,18,80,9,37,,,9,37
40,15,40,35,70,9,41,,,9,41
60,20,60,50,65,8,64,,,8,64
Comment (optional),Mass planting and management provides the ability to engineer this outcome. Trees are the easy win on a site that is protected and can be managed,,,,,,,,,
