Tree Richness - Low site quality,,,,,,,,,,
,,,,,,,,,,
Benchmark Richness,Lower Bound,Upper Bound,Best Estimate,Confidence (%) 50-100,90% CI (LB),90% CI (UB),Uppermost Bound,,,
5,Indicate the lowest realistic value for each time step,Indicate the highest realistic value for each time step,Provide your best estimate of the value for each time step,"How confident are you that your interval, from lowest to highest, would capture the true value)",90% upper confidence interval (automatically caculated),90% lower confidence interval (automatically caculated),6,,,
,,,,,,,,,,
Management scenario: Typical private land activities,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,0,2,1,95,0,2,,,0,2
20,0,3,1,95,0,3,,,0,3
40,1,4,2,85,1,4,,,1,4
60,2,5,3,80,2,5,,,2,5
Comment (optional),It often takes positive management intervention to prevent trees establishing - in the absence of such intervention recruitment opportunities are likely to occur occasionally,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: Low intensity management,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,0,2,1,95,0,2,,,0,2
20,1,4,3,95,1,4,,,1,4
40,2,6,4,85,2,6,,,2,6
60,3,6,5,80,3,6,,,3,6
Comment (optional),Some basic natural recovery& recuitment facilitated by better management - assumption that site is not conmpletely isolated wrt recruitment inputs,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: High intensity management ,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,0,2,1,95,0,2,,,0,2
20,3,8,6,90,3,6,,,3,8
40,4,8,6,85,4,6,,,4,8
60,4,6,5,75,4,6,,,4,6
Comment (optional),"Assumption that diverse plantings of trees are likely in first years, gradually reduced by attrition",,,,,,,,,
