Grass & grass-like cover - Medium quality 1 (ground cover),,,,,,,,,,
Benchmark cover: to be elicited,,,,,,,,,,
Benchmark cover,Lower Bound,Upper Bound,Best Estimate,Confidence (%) 50-100,90% CI (LB),90% CI (UB),Uppermost Bound,,,
,Indicate the lowest realistic value for each time step,Indicate the highest realistic value for each time step,Provide your best estimate of the value for each time step,"How confident are you that your interval, from lowest to highest, would capture the true value)",90% upper confidence interval (automatically caculated),90% lower confidence interval (automatically caculated),55,,,
,,,,,,,,,,
Management scenario: Typical private land activities,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,15,65,40,95,16,55,,,16,64
20,13,65,37,80,10,55,,,10,69
40,10,62,35,70,3,55,,,3,70
60,8,60,34,60,0,55,,,-5,73
Comment (optional),Gradual decline under the influence of competing grasses,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: Low intensity management,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,15,65,40,95,16,55,,,16,64
20,15,65,40,70,8,55,,,8,72
40,15,65,41,65,5,55,,,5,74
60,14,68,41.5,55,0,55,,,-4,85
Comment (optional),gradual upward improvement as weed species are addressed,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: High intensity management ,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,15,65,40,95,16,55,,,16,64
20,15,75,50,80,11,55,,,11,78
40,15,80,55,70,4,55,,,4,87
60,15,80,55,60,0,55,,,-5,93
Comment (optional),"sharp upward rise, then a plateauing of grass at a stable density under management",,,,,,,,,
