Tree cover - Medium quality 1 (ground cover),,,,,,,,,,
Benchmark cover: to be elicited,,,,,,,,,,
Benchmark cover,Lower Bound,Upper Bound,Best Estimate,Confidence (%) 50-100,90% CI (LB),90% CI (UB),Uppermost Bound,,,
,Indicate the lowest realistic value for each time step,Indicate the highest realistic value for each time step,Provide your best estimate of the value for each time step,"How confident are you that your interval, from lowest to highest, would capture the true value)",90% upper confidence interval (automatically caculated),90% lower confidence interval (automatically caculated),80,,,
,,,,,,,,,,
Management scenario: Typical private land activities,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,0,5,3,95,0,5,,,0,5
20,5,20,15,80,4,21,,,4,21
40,10,30,20,70,7,33,,,7,33
60,20,40,30,60,15,45,,,15,45
Comment (optional),"Landscape scale decline is expected, outbalanced by natural regeneration which occurs strongly where native groundcovers are present, but balanced by land management (grazing or slashing). Our observation is that across the Cumberland Plain tree cover is increasing on unmanaged lands",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: Low intensity management,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,0,5,3,95,0,5,,,0,5
20,10,40,20,90,10,40,,,10,40
40,20,60,35,80,18,63,,,18,63
60,40,70,52,80,39,72,,,39,72
Comment (optional),Where native groundcovers are prevalent natural regeneration of canopy cover is very strong - in over 300 CPW management sites we've always had high (sometimes too high) natural recruitment of trees where native groundcovers are present,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: High intensity management ,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,0,5,3,95,0,5,,,0,5
20,10,40,20,90,10,40,,,10,40
40,20,60,35,80,18,63,,,18,63
60,40,70,52,80,39,72,,,39,72
Comment (optional),No additional gains by assisted revegetation (it is possible to achieve higher tree densities however these represent a DECLINE in biodiversity value and not factored here),,,,,,,,,
