Tree Richness - High quality,,,,,,,,,,
,,,,,,,,,,
Benchmark richness:,Lower Bound,Upper Bound,Best Estimate,Confidence (%) 50-100,90% CI (LB),90% CI (UB),Uppermost Bound,,,
5,Indicate the lowest realistic value for each time step,Indicate the highest realistic value for each time step,Provide your best estimate of the value for each time step,"How confident are you that your interval, from lowest to highest, would capture the true value)",90% upper confidence interval (automatically caculated),90% lower confidence interval (automatically caculated),6,,,
,,,,,,,,,,
Management scenario: Typical private land activities,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,3,6,5,95,3,6,,,3,6
20,2,6,4,90,2,6,,,2,6
40,1,6,4,85,1,6,,,1,6
60,2,5,3,80,2,5,,,2,5
Comment (optional),"There is a fair diversity of private land management, hence the range.  I would expect a gradual decline in tree diversity without active management, but there are also likely to be occasional ;pulses of recruitment (e.g. wattles after fire) over the course of decades ",,,,,,,,,
