Grass & grass-like cover - High quality,,,,,,,,,,
Benchmark cover: to be elicited,,,,,,,,,,
Benchmark cover,Lower Bound,Upper Bound,Best Estimate,Confidence (%) 50-100,90% CI (LB),90% CI (UB),Uppermost Bound,,,
,Indicate the lowest realistic value for each time step,Indicate the highest realistic value for each time step,Provide your best estimate of the value for each time step,"How confident are you that your interval, from lowest to highest, would capture the true value)",90% upper confidence interval (automatically caculated),90% lower confidence interval (automatically caculated),80,,,
,,,,,,,,,,
Management scenario: Typical private land activities,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,25,60,40,95,26,59,,,26,59
20,25,60,40,80,23,63,,,23,63
40,25,60,40,70,21,66,,,21,66
60,25,60,40,60,18,70,,,18,70
Comment (optional),There is little to no observed decline in coverage in high quality sites. Some confidence built in to account for changes to land management. Both positive and negative changes observed to be about equal - many intensively managed sites now converted to lifestyle with stocking and firewood harvesting reduced (biodiveristy gains) while others undertaking clearing,,,,,,,,,
