Tree Richness - Medium quality 1 (Ground Cover),,,,,,,,,,
,,,,,,,,,,
Benchmark richness:,Lower Bound,Upper Bound,Best Estimate,Confidence (%) 50-100,90% CI (LB),90% CI (UB),Uppermost Bound,,,
5,Indicate the lowest realistic value for each time step,Indicate the highest realistic value for each time step,Provide your best estimate of the value for each time step,"How confident are you that your interval, from lowest to highest, would capture the true value)",90% upper confidence interval (automatically caculated),90% lower confidence interval (automatically caculated),6,,,
,,,,,,,,,,
Management scenario: Typical private land activities,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,1,4,2,95,1,4,,,1,4
20,1,4,2,70,1,5,,,1,5
40,1,4,2,60,1,5,,,1,5
60,0,4,2,50,0,6,,,-2,6
Comment (optional),senescence and failure of recruitment is likely. Species composition changes may not be reflected in diversity,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: Low intensity management,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,1,4,2,95,1,4,,,1,4
20,2,6,3,80,2,6,,,2,6
40,2,6,4,70,1,6,,,1,7
60,2,7,5,60,1,6,,,1,8
Comment (optional),likely to lead to a general improving trend,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: High intensity management ,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,1,4,2,95,1,4,,,1,4
20,5,10,8,80,5,6,,,5,10
40,6,10,8,70,5,6,,,5,11
60,5,8,7,60,4,6,,,4,9
Comment (optional),,,,,,,,,,
