Forb richness - Low site quality,,,,,,,,,,
,,,,,,,,,,
Benchmark richness:,Lower Bound,Upper Bound,Best Estimate,Confidence (%) 50-100,90% CI (LB),90% CI (UB),Uppermost Bound,,,
15,Indicate the lowest realistic value for each time step,Indicate the highest realistic value for each time step,Provide your best estimate of the value for each time step,"How confident are you that your interval, from lowest to highest, would capture the true value)",90% upper confidence interval (automatically caculated),90% lower confidence interval (automatically caculated),25,,,
,,,,,,,,,,
Management scenario: Typical private land activities,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,2,10,5,95,2,10,,,2,10
20,2,10,5,70,1,11,,,1,11
40,2,10,5,60,1,13,,,1,13
60,2,10,4,50,0,15,,,0,15
Comment (optional),persistence of tolerant or annual forbs,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: Low intensity management,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,2,10,5,95,2,10,,,2,10
20,10,15,12,80,10,15,,,10,15
40,10,18,14,70,9,19,,,9,19
60,10,20,15,60,8,23,,,8,23
Comment (optional),Likely to see a rapid initial response of plants to management of the groundcover weed through herbicide and fire,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: High intensity management ,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,2,10,5,95,2,10,,,2,10
20,10,30,18,80,9,25,,,9,32
40,10,30,18,70,8,25,,,8,33
60,15,30,20,60,13,25,,,13,35
Comment (optional),"Likely to see a quick response from diversity planting , plateau as canopy thickening occurs, then gradual increase once canopy matures.",,,,,,,,,
