Tree cover - High,,,,,,,,,,
Benchmark cover: to be elicited,,,,,,,,,,
Benchmark cover,Lower Bound,Upper Bound,Best Estimate,Confidence (%) 50-100,90% CI (LB),90% CI (UB),Uppermost Bound,,,
,Indicate the lowest realistic value for each time step,Indicate the highest realistic value for each time step,Provide your best estimate of the value for each time step,"How confident are you that your interval, from lowest to highest, would capture the true value)",90% upper confidence interval (automatically caculated),90% lower confidence interval (automatically caculated)    ,65,,,
,,,,,,,,,,
Management scenario: Typical private land activities,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,35,70,52,100,37,65,,,37,68
20,35,70,60,80,32,65,,,32,71
40,35,70,65,80,31,65,,,31,71
60,35,70,65,80,31,65,,,31,71
Comment (optional),Best estimate identifies natural recruitment to more forest like state with exclusion of high intensity fires as surrounding development limits these ,,,,,,,,,
